15839|(HANK) MODENA CONCRETE PUMPING|39839|Vendor Number 39839|Contact: Henry Modena|Mr.|Henry|Modena|4870 La Honda Road|San Gregorio, CA  94074|4870 La Honda Road|San Gregorio, CA  94074|Phone: 650/726-6220|Fax: 650/726-0868|Email: modenacp@aol.com|N|Y|N|Y|N|N|N|N|N|Y|N|N|N|C|Expiration Date: 7/31/2021|Certification #CMD072115839|32 Meter, 40 Meter, and 42 Meter Boom Pumps amd 3/4 Rock Pump Trailer|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 7/31/2021|GS138||10|N||Updated 9/11/2019
14460|A A E S INC DBA AES ENGINEERING SERVICES|63439|Vendor Number 63439|Contact: Atif A. Ammar|Mr.|Atif|Ammar|1 Avenue of the Palms, Suite 120|San Francisco, CA  94130|1 Avenue of the Palms, Suite 120|San Francisco, CA  94130|Phone: 209-601-0038|Fax: 415/435-6150|Email: atif@aaescorp.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 11/30/2019|Certification #CMD101614460|Electrical, Mechanical, Instrumentation & Controls, SCADA, Security System, Civil, Structural Engineering & Design Drafting, Project Mgt, Construction Mgt, Startup, Cost Estimating, and Project Planning|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 11/30/2019, CSLB License # 937217|CN034||10|N|937217|Updated 9/11/2019
14460|A A E S INC DBA AES ENGINEERING SERVICES|63439|Vendor Number 63439|Contact: Atif A. Ammar|Mr.|Atif|Ammar|1 Avenue of the Palms, Suite 120|San Francisco, CA  94130|1 Avenue of the Palms, Suite 120|San Francisco, CA  94130|Phone: 209-601-0038|Fax: 415/435-6150|Email: atif@aaescorp.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 11/30/2019|Certification #CMD101614460|Electrical, Mechanical, Instrumentation & Controls, SCADA, Security System, Civil, Structural Engineering & Design Drafting, Project Mgt, Construction Mgt, Startup, Cost Estimating, and Project Planning|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 11/30/2019, CSLB License # 937217|GS098||10|N|937217|Updated 9/11/2019
14460|A A E S INC DBA AES ENGINEERING SERVICES|63439|Vendor Number 63439|Contact: Atif A. Ammar|Mr.|Atif|Ammar|1 Avenue of the Palms, Suite 120|San Francisco, CA  94130|1 Avenue of the Palms, Suite 120|San Francisco, CA  94130|Phone: 209-601-0038|Fax: 415/435-6150|Email: atif@aaescorp.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 11/30/2019|Certification #CMD101614460|Electrical, Mechanical, Instrumentation & Controls, SCADA, Security System, Civil, Structural Engineering & Design Drafting, Project Mgt, Construction Mgt, Startup, Cost Estimating, and Project Planning|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 11/30/2019, CSLB License # 937217|AE006||10|N|937217|Updated 9/11/2019
14460|A A E S INC DBA AES ENGINEERING SERVICES|63439|Vendor Number 63439|Contact: Atif A. Ammar|Mr.|Atif|Ammar|1 Avenue of the Palms, Suite 120|San Francisco, CA  94130|1 Avenue of the Palms, Suite 120|San Francisco, CA  94130|Phone: 209-601-0038|Fax: 415/435-6150|Email: atif@aaescorp.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 11/30/2019|Certification #CMD101614460|Electrical, Mechanical, Instrumentation & Controls, SCADA, Security System, Civil, Structural Engineering & Design Drafting, Project Mgt, Construction Mgt, Startup, Cost Estimating, and Project Planning|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 11/30/2019, CSLB License # 937217|PS007||10|N|937217|Updated 9/11/2019
14460|A A E S INC DBA AES ENGINEERING SERVICES|63439|Vendor Number 63439|Contact: Atif A. Ammar|Mr.|Atif|Ammar|1 Avenue of the Palms, Suite 120|San Francisco, CA  94130|1 Avenue of the Palms, Suite 120|San Francisco, CA  94130|Phone: 209-601-0038|Fax: 415/435-6150|Email: atif@aaescorp.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 11/30/2019|Certification #CMD101614460|Electrical, Mechanical, Instrumentation & Controls, SCADA, Security System, Civil, Structural Engineering & Design Drafting, Project Mgt, Construction Mgt, Startup, Cost Estimating, and Project Planning|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 11/30/2019, CSLB License # 937217|GS068||10|N|937217|Updated 9/11/2019
14460|A A E S INC DBA AES ENGINEERING SERVICES|63439|Vendor Number 63439|Contact: Atif A. Ammar|Mr.|Atif|Ammar|1 Avenue of the Palms, Suite 120|San Francisco, CA  94130|1 Avenue of the Palms, Suite 120|San Francisco, CA  94130|Phone: 209-601-0038|Fax: 415/435-6150|Email: atif@aaescorp.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 11/30/2019|Certification #CMD101614460|Electrical, Mechanical, Instrumentation & Controls, SCADA, Security System, Civil, Structural Engineering & Design Drafting, Project Mgt, Construction Mgt, Startup, Cost Estimating, and Project Planning|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 11/30/2019, CSLB License # 937217|GS124||10|N|937217|Updated 9/11/2019
14460|A A E S INC DBA AES ENGINEERING SERVICES|63439|Vendor Number 63439|Contact: Atif A. Ammar|Mr.|Atif|Ammar|1 Avenue of the Palms, Suite 120|San Francisco, CA  94130|1 Avenue of the Palms, Suite 120|San Francisco, CA  94130|Phone: 209-601-0038|Fax: 415/435-6150|Email: atif@aaescorp.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 11/30/2019|Certification #CMD101614460|Electrical, Mechanical, Instrumentation & Controls, SCADA, Security System, Civil, Structural Engineering & Design Drafting, Project Mgt, Construction Mgt, Startup, Cost Estimating, and Project Planning|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 11/30/2019, CSLB License # 937217|PS048||10|N|937217|Updated 9/11/2019
14460|A A E S INC DBA AES ENGINEERING SERVICES|63439|Vendor Number 63439|Contact: Atif A. Ammar|Mr.|Atif|Ammar|1 Avenue of the Palms, Suite 120|San Francisco, CA  94130|1 Avenue of the Palms, Suite 120|San Francisco, CA  94130|Phone: 209-601-0038|Fax: 415/435-6150|Email: atif@aaescorp.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 11/30/2019|Certification #CMD101614460|Electrical, Mechanical, Instrumentation & Controls, SCADA, Security System, Civil, Structural Engineering & Design Drafting, Project Mgt, Construction Mgt, Startup, Cost Estimating, and Project Planning|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 11/30/2019, CSLB License # 937217|GS057||10|N|937217|Updated 9/11/2019
14460|A A E S INC DBA AES ENGINEERING SERVICES|63439|Vendor Number 63439|Contact: Atif A. Ammar|Mr.|Atif|Ammar|1 Avenue of the Palms, Suite 120|San Francisco, CA  94130|1 Avenue of the Palms, Suite 120|San Francisco, CA  94130|Phone: 209-601-0038|Fax: 415/435-6150|Email: atif@aaescorp.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 11/30/2019|Certification #CMD101614460|Electrical, Mechanical, Instrumentation & Controls, SCADA, Security System, Civil, Structural Engineering & Design Drafting, Project Mgt, Construction Mgt, Startup, Cost Estimating, and Project Planning|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 11/30/2019, CSLB License # 937217|PS058||10|N|937217|Updated 9/11/2019
13922|A B A GLOBAL|83166|Vendor Number 83166|Contact: Nahla Awad|Ms.|Nahla|Awad|22 Wawona Street|San Francisco, CA  94127|22 Wawona Street|San Francisco, CA  94127|Phone: 415/661-6486|Fax: 415/661-6259|Email: sambarjoud@gmail.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 9/30/2022|Certification #CMD092213922|Architectural design, structural design, civil engineering, and construction management|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 9/30/2022|AE003||10|N||Updated 9/11/2019
13922|A B A GLOBAL|83166|Vendor Number 83166|Contact: Nahla Awad|Ms.|Nahla|Awad|22 Wawona Street|San Francisco, CA  94127|22 Wawona Street|San Francisco, CA  94127|Phone: 415/661-6486|Fax: 415/661-6259|Email: sambarjoud@gmail.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 9/30/2022|Certification #CMD092213922|Architectural design, structural design, civil engineering, and construction management|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 9/30/2022|AE004||10|N||Updated 9/11/2019
13922|A B A GLOBAL|83166|Vendor Number 83166|Contact: Nahla Awad|Ms.|Nahla|Awad|22 Wawona Street|San Francisco, CA  94127|22 Wawona Street|San Francisco, CA  94127|Phone: 415/661-6486|Fax: 415/661-6259|Email: sambarjoud@gmail.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 9/30/2022|Certification #CMD092213922|Architectural design, structural design, civil engineering, and construction management|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 9/30/2022|AE019||10|N||Updated 9/11/2019
13922|A B A GLOBAL|83166|Vendor Number 83166|Contact: Nahla Awad|Ms.|Nahla|Awad|22 Wawona Street|San Francisco, CA  94127|22 Wawona Street|San Francisco, CA  94127|Phone: 415/661-6486|Fax: 415/661-6259|Email: sambarjoud@gmail.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 9/30/2022|Certification #CMD092213922|Architectural design, structural design, civil engineering, and construction management|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 9/30/2022|PS010||10|N||Updated 9/11/2019
13922|A B A GLOBAL|83166|Vendor Number 83166|Contact: Nahla Awad|Ms.|Nahla|Awad|22 Wawona Street|San Francisco, CA  94127|22 Wawona Street|San Francisco, CA  94127|Phone: 415/661-6486|Fax: 415/661-6259|Email: sambarjoud@gmail.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 9/30/2022|Certification #CMD092213922|Architectural design, structural design, civil engineering, and construction management|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 9/30/2022|PS058||10|N||Updated 9/11/2019
11737|A B C PARKING INC|38063|Vendor Number 38063|Contact: Kevin Wong|Mr.|Kevin|Wong|225 2nd  Avenue #1|San Francisco, CA  94118|225 2nd  Avenue #1|San Francisco, CA  94118|Phone: 415/424-6092|Fax: 415/387-3106|Email: abcparking@yahoo.com|N|N|Y|N|Y|N|N|N|N|N|Y|N|N|R|Expiration Date: 9/30/2019|Certification #CMD091911737|Valet Parking; Self Parking; Consulting and Management|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 9/30/2019|PS064||10|N||Updated 9/11/2019
13274|A C BONIFACIO CONSTRUCTION CO|25414|Vendor Number 25414|Contact: Aldrey C. Bonifacio|Mr.|Aldrey|Bonifacio|69 Cortland Avenue|San Francisco, CA  94110|1495 Church Street|San Francisco, CA  94131|Phone: 415/550-1857|Fax: 415/550-0602|Email: acbonifacio@hotmail.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 9/30/2020|Certification #CMD092013274|SERVICE; CONTRACTING, GENERAL BUILDING: FRAMING, ELECTRICAL, CARPENTRY, CONCRETE WORK, PLUMBING, FINISHING WORK|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 9/30/2020, CSLB License # 585824|CN031||10|N|585824|Updated 9/11/2019
16596|A DESIGN ATELIER LLC|400120|Vendor Number 400120|Contact: Amber Semmen|Ms.|Amber|Semmen|301 Mission Street #26A|San Francisco, CA  94105|PO Box 190813|San Francisco, CA  94119|Phone: 415/987-5139||Email: amber@adesignatelier.com|N|N|Y|N|N|Y|N|N|N|Y|N|N|N|C|Expiration Date: 8/31/2021|Certification #CMD082116596||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 8/31/2021|AE001||10|N||Updated 9/11/2019
16596|A DESIGN ATELIER LLC|400120|Vendor Number 400120|Contact: Amber Semmen|Ms.|Amber|Semmen|301 Mission Street #26A|San Francisco, CA  94105|PO Box 190813|San Francisco, CA  94119|Phone: 415/987-5139||Email: amber@adesignatelier.com|N|N|Y|N|N|Y|N|N|N|Y|N|N|N|C|Expiration Date: 8/31/2021|Certification #CMD082116596||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 8/31/2021|PS027||10|N||Updated 9/11/2019
16596|A DESIGN ATELIER LLC|400120|Vendor Number 400120|Contact: Amber Semmen|Ms.|Amber|Semmen|301 Mission Street #26A|San Francisco, CA  94105|PO Box 190813|San Francisco, CA  94119|Phone: 415/987-5139||Email: amber@adesignatelier.com|N|N|Y|N|N|Y|N|N|N|Y|N|N|N|C|Expiration Date: 8/31/2021|Certification #CMD082116596||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 8/31/2021|GS102||10|N||Updated 9/11/2019
16596|A DESIGN ATELIER LLC|400120|Vendor Number 400120|Contact: Amber Semmen|Ms.|Amber|Semmen|301 Mission Street #26A|San Francisco, CA  94105|PO Box 190813|San Francisco, CA  94119|Phone: 415/987-5139||Email: amber@adesignatelier.com|N|N|Y|N|N|Y|N|N|N|Y|N|N|N|C|Expiration Date: 8/31/2021|Certification #CMD082116596||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 8/31/2021|GS124||10|N||Updated 9/11/2019
